ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
The Chemical Wedding,Bruce Dickinson,The Chemical Wedding (1998),Jerusalem
Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head,White Zombie,Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head (1995),More Human Than Human
State of Euphoria,Anthrax,State of Euphoria (1988),Be All, End All
Abigail,King Diamond,Abigail (1987),A Mansion in Darkness
Lights Camera Revolution,Suicidal Tendencies,Lights Camera Revolution (1990),You Can't Bring Me Down
The Last in Line,Dio,The Last in Line (1984),Egypt (The Chains Are On)
Angel Dust,Faith No More,Angel Dust (1992),A Small Victory
Ashes Against the Grain,Agalloch,Ashes Against the Grain (2006),Limbs
The Battle of Los Angeles,Rage Against the Machine,The Battle of Los Angeles (1999),Guerrilla Radio
Metal Church,Metal Church,Metal Church (1984),Beyond The Black
Monotheist,Celtic Frost,Monotheist (2006),A Dying God Coming into Human Flesh
Heartwork,Carcass,Heartwork (1993),Buried Dreams
Nightfall,Candlemass,Nightfall (1987),At the Gallows End
Danzig,Danzig,Danzig (1988),Twist of Cain
The Eye,King Diamond,The Eye (1990),Eye of the Witch
Operation: Mindcrime,Queensrÿche,Operation: Mindcrime (1988),Spreading the Disease
Metal Church,Metal Church,Metal Church (1984),Gods of Wrath
Icon,Paradise Lost,Icon (1993),True Belief
Suicidal Tendencies,Suicidal Tendencies,Suicidal Tendencies (1983),I Saw your Mommy
Burnt Offerings,Iced Earth,Burnt Offerings (1995),Dante's Inferno
Individual Thought Patterns,Death,Individual Thought Patterns (1993),The Philosopher
Black Gives Way to Blue,Alice in Chains,Black Gives Way to Blue (2009),Black Gives Way to Blue
My Arms, Your Hearse,Opeth,My Arms, Your Hearse (1998),Demon of the Fall
Anthems to the Welkin at Dusk,Emperor,Anthems to the Welkin at Dusk (1997),With Strength I Burn
Breaker,Accept,Breaker (1981),Breaker
In the Shadows,Mercyful Fate,In the Shadows (1993),Egypt
No Rest for the Wicked,Ozzy Osbourne,No Rest for the Wicked (1988),Miracle Man
The Dark,Metal Church,The Dark (1986),Watch the Children Pray
Reise, Reise,Rammstein,Reise, Reise (2004),Mein Teil
Dream Evil,Dio,Dream Evil (1987),Sunset Superman
The Great Cold Distance,Katatonia,The Great Cold Distance (2006),My Twin
Sign of the Hammer,Manowar,Sign of the Hammer (1984),Sign of the Hammer
Antichrist Superstar,Marilyn Manson,Antichrist Superstar (1996),The Beautiful People
The Headless Children,W.A.S.P.,The Headless Children (1989),The Headless Children
Bloody Kisses,Type O Negative,Bloody Kisses (1993),Bloody Kisses (A Death in the Family)
Shades of God,Paradise Lost,Shades of God (1992),As I Die
Melissa,Mercyful Fate,Melissa (1983),Satan's Fall
Hall of the Mountain King,Savatage,Hall of the Mountain King (1987),24 Hours Ago
Cowboys From Hell,Pantera,Cowboys From Hell (1990),Domination
Empire,Queensrÿche,Empire (1990),Jet City Woman
The Legacy,Testament,The Legacy (1987),Alone in the Dark
A Matter of Life and Death,Iron Maiden,A Matter of Life and Death (2006),The Legacy
Scum,Napalm Death,Scum (1987),Scum
Youthanasia,Megadeth,Youthanasia (1994),Train of Consequences
Power & the Glory,Saxon,Power & the Glory (1983),Power & the Glory
"Them",King Diamond,"Them" (1988),The Invisible Guests
Persistence of Time,Anthrax,Persistence of Time (1990),In My World
Walls of Jericho,Helloween,Walls of Jericho (1985),Ride the Sky
City,Strapping Young Lad,City (1997),Oh My Fucking God
